plan_id,participant_id,money_type_code,investment_code,balance,units,as_of_date
PLN-R001,R1001,PRETAX,F01,1013.01,101.5,2026-06-30
PLN-R001,R1001,MATCH,F02,413.01,41.5,2026-06-30
PLN-R001,R1002,PRETAX,F01,1026.02,102.5,2026-06-30
PLN-R001,R1002,MATCH,F02,426.02,42.5,2026-06-30
PLN-R001,R1003,PRETAX,F01,1039.03,103.5,2026-06-30
PLN-R001,R1003,MATCH,F02,439.03,43.5,2026-06-30
PLN-R001,R1004,PRETAX,F01,1052.04,105.5,2026-06-30
PLN-R001,R1004,MATCH,F02,452.04,45.5,2026-06-30
PLN-R001,R1005,PRETAX,F01,1065.05,106.5,2026-06-30
PLN-R001,R1005,MATCH,F02,465.05,46.5,2026-06-30
PLN-R001,R1006,PRETAX,F01,1078.06,107.5,2026-06-30
PLN-R001,R1006,MATCH,F02,478.06,47.5,2026-06-30
PLN-R001,R1007,PRETAX,F01,1091.07,109.5,2026-06-30
PLN-R001,R1007,MATCH,F02,491.07,49.5,2026-06-30
PLN-R001,R1008,PRETAX,F01,1104.08,110.5,2026-06-30
PLN-R001,R1008,MATCH,F02,504.08,50.5,2026-06-30
PLN-R001,R1009,PRETAX,F01,1117.09,111.5,2026-06-30
PLN-R001,R1009,MATCH,F02,517.09,51.5,2026-06-30
PLN-R001,R1010,PRETAX,F01,1130.10,113.5,2026-06-30
PLN-R001,R1010,MATCH,F02,530.10,53.5,2026-06-30
PLN-R001,R1011,PRETAX,F01,1143.11,114.5,2026-06-30
PLN-R001,R1011,MATCH,F02,543.11,54.5,2026-06-30
PLN-R001,R1012,PRETAX,F01,1156.12,115.5,2026-06-30
PLN-R001,R1012,MATCH,F02,556.12,55.5,2026-06-30
PLN-R001,R1013,PRETAX,F01,1169.13,116.5,2026-06-30
PLN-R001,R1013,MATCH,F02,569.13,56.5,2026-06-30
PLN-R001,R1014,PRETAX,F01,1182.14,118.5,2026-06-30
PLN-R001,R1014,MATCH,F02,582.14,58.5,2026-06-30
PLN-R001,R1015,PRETAX,F01,1195.15,119.5,2026-06-30
PLN-R001,R1015,MATCH,F02,595.15,59.5,2026-06-30
PLN-R001,R1016,PRETAX,F01,1208.16,120.5,2026-06-30
PLN-R001,R1016,MATCH,F02,608.16,60.5,2026-06-30
PLN-R001,R1017,PRETAX,F01,1221.17,122.5,2026-06-30
PLN-R001,R1017,MATCH,F02,621.17,62.5,2026-06-30
PLN-R001,R1018,PRETAX,F01,1234.18,123.5,2026-06-30
PLN-R001,R1018,MATCH,F02,634.18,63.5,2026-06-30
PLN-R001,R1019,PRETAX,F01,1247.19,124.5,2026-06-30
PLN-R001,R1019,MATCH,F02,647.19,64.5,2026-06-30
PLN-R001,R1020,PRETAX,F01,1260.20,126.5,2026-06-30
PLN-R001,R1020,MATCH,F02,660.20,66.5,2026-06-30
PLN-R001,R1021,PRETAX,F01,1273.21,127.5,2026-06-30
PLN-R001,R1021,MATCH,F02,673.21,67.5,2026-06-30
PLN-R001,R1022,PRETAX,F01,1286.22,128.5,2026-06-30
PLN-R001,R1022,MATCH,F02,686.22,68.5,2026-06-30
PLN-R001,R1023,PRETAX,F01,1299.23,129.5,2026-06-30
PLN-R001,R1023,MATCH,F02,699.23,69.5,2026-06-30
PLN-R001,R1024,PRETAX,F01,1312.24,131.5,2026-06-30
PLN-R001,R1024,MATCH,F02,712.24,71.5,2026-06-30
PLN-R001,R1025,PRETAX,F01,1325.25,132.5,2026-06-30
PLN-R001,R1025,MATCH,F02,725.25,72.5,2026-06-30
PLN-R001,R1026,PRETAX,F01,1338.26,133.5,2026-06-30
PLN-R001,R1026,MATCH,F02,738.26,73.5,2026-06-30
PLN-R001,R1027,PRETAX,F01,1351.27,135.5,2026-06-30
PLN-R001,R1027,MATCH,F02,751.27,75.5,2026-06-30
PLN-R001,R1028,PRETAX,F01,1364.28,136.5,2026-06-30
PLN-R001,R1028,MATCH,F02,764.28,76.5,2026-06-30
PLN-R001,R1029,PRETAX,F01,1377.29,137.5,2026-06-30
PLN-R001,R1029,MATCH,F02,777.29,77.5,2026-06-30
PLN-R001,R1030,PRETAX,F01,1390.30,139.5,2026-06-30
PLN-R001,R1030,MATCH,F02,790.30,79.5,2026-06-30
PLN-R001,R1031,PRETAX,F01,1403.31,140.5,2026-06-30
PLN-R001,R1031,MATCH,F02,803.31,80.5,2026-06-30
PLN-R001,R1032,PRETAX,F01,1416.32,141.5,2026-06-30
