plan_id,participant_id,schedule_id,service_years,vested_pct
PLN-SEED-01,P0001,GRADED6,5.5,0.8000
PLN-SEED-01,P0002,GRADED6,1.5,0.0000
PLN-SEED-01,P0003,GRADED6,6.5,1.0000
PLN-SEED-01,P0004,GRADED6,2.5,0.2000
PLN-SEED-01,P0005,GRADED6,7.5,1.0000
PLN-SEED-01,P0006,GRADED6,3.5,0.4000
PLN-SEED-01,P0007,GRADED6,8.5,1.0000
PLN-SEED-01,P0008,GRADED6,4.5,0.6000
PLN-SEED-01,P0009,GRADED6,0.5,0.0000
PLN-SEED-01,P0010,GRADED6,5.5,0.8000
PLN-SEED-01,P0011,GRADED6,1.5,0.0000
PLN-SEED-01,P0012,GRADED6,6.5,1.0000
PLN-SEED-01,P0013,GRADED6,2.5,0.2000
PLN-SEED-01,P0014,GRADED6,7.5,1.0000
PLN-SEED-01,P0015,GRADED6,3.5,0.4000
PLN-SEED-01,P0016,GRADED6,8.5,1.0000
PLN-SEED-01,P0017,GRADED6,5.5,0.8000
PLN-SEED-01,P0018,GRADED6,0.5,0.0000
PLN-SEED-01,P0019,GRADED6,5.5,0.8000
PLN-SEED-01,P0020,GRADED6,1.5,0.0000
PLN-SEED-01,P0021,GRADED6,6.5,1.0000
PLN-SEED-01,P0022,GRADED6,2.5,0.2000
PLN-SEED-01,P0023,GRADED6,7.5,1.0000
PLN-SEED-01,P0024,GRADED6,3.5,0.4000
PLN-SEED-01,P0025,GRADED6,8.5,1.0000
PLN-SEED-01,P0026,GRADED6,4.5,0.6000
PLN-SEED-01,P0027,GRADED6,0.5,0.0000
PLN-SEED-01,P0028,GRADED6,5.5,0.8000
PLN-SEED-01,P0029,GRADED6,1.5,0.0000
PLN-SEED-01,P0030,GRADED6,6.5,1.0000
PLN-SEED-01,P0031,GRADED6,2.5,0.2000
PLN-SEED-01,P0032,GRADED6,7.5,1.0000
PLN-SEED-01,P0033,GRADED6,3.5,0.4000
PLN-SEED-01,P0034,GRADED6,8.5,1.0000
PLN-SEED-01,P0035,GRADED6,4.5,0.6000
PLN-SEED-01,P0036,GRADED6,0.5,0.0000
PLN-SEED-01,P0037,GRADED6,5.5,0.8000
PLN-SEED-01,P0038,GRADED6,1.5,0.0000
PLN-SEED-01,P0039,GRADED6,6.5,1.0000
PLN-SEED-01,P0040,GRADED6,2.5,0.2000
PLN-SEED-01,P0041,GRADED6,7.5,1.0000
PLN-SEED-01,P0042,GRADED6,3.5,0.4000
PLN-SEED-01,P0043,GRADED6,8.5,1.0000
PLN-SEED-01,P0044,GRADED6,4.5,0.6000
PLN-SEED-01,P0045,GRADED6,0.5,0.0000
PLN-SEED-01,P0046,GRADED6,5.5,0.8000
PLN-SEED-01,P0047,GRADED6,1.5,0.0000
PLN-SEED-01,P0048,GRADED6,6.5,1.0000
PLN-SEED-01,P0049,GRADED6,2.5,0.2000
PLN-SEED-01,P0050,GRADED6,7.5,1.0000
PLN-SEED-01,P0051,GRADED6,3.5,0.4000
PLN-SEED-01,P0052,GRADED6,8.5,1.0000
PLN-SEED-01,P0053,GRADED6,4.5,0.6000
PLN-SEED-01,P0054,GRADED6,0.5,0.0000
PLN-SEED-01,P0055,GRADED6,5.5,0.8000
PLN-SEED-01,P0056,GRADED6,1.5,0.0000
PLN-SEED-01,P0057,GRADED6,6.5,1.0000
PLN-SEED-01,P0058,GRADED6,2.5,0.2000
PLN-SEED-01,P0059,GRADED6,7.5,1.0000
PLN-SEED-01,P0060,GRADED6,3.5,0.4000
PLN-SEED-01,P0061,GRADED6,8.5,1.0000
PLN-SEED-01,P0062,GRADED6,4.5,0.6000
PLN-SEED-01,P0063,GRADED6,0.5,0.0000
PLN-SEED-01,P0064,GRADED6,5.5,0.8000
PLN-SEED-01,P0065,GRADED6,1.5,0.0000
PLN-SEED-01,P0066,GRADED6,6.5,1.0000
PLN-SEED-01,P0067,GRADED6,2.5,0.2000
PLN-SEED-01,P0068,GRADED6,7.5,1.0000
PLN-SEED-01,P0069,GRADED6,3.5,0.4000
PLN-SEED-01,P0070,GRADED6,8.5,1.0000
PLN-SEED-01,P0071,GRADED6,4.5,0.6000
PLN-SEED-01,P0072,GRADED6,0.5,0.0000
PLN-SEED-01,P0073,GRADED6,5.5,0.8000
PLN-SEED-01,P0074,GRADED6,1.5,0.0000
PLN-SEED-01,P0075,GRADED6,6.5,1.0000
PLN-SEED-01,P0076,GRADED6,2.5,0.2000
PLN-SEED-01,P0077,GRADED6,7.5,1.0000
PLN-SEED-01,P0078,GRADED6,3.5,0.4000
PLN-SEED-01,P0079,GRADED6,8.5,1.0000
PLN-SEED-01,P0080,GRADED6,4.5,0.6000
PLN-SEED-01,P0081,GRADED6,0.5,0.0000
PLN-SEED-01,P0082,GRADED6,5.5,0.8000
PLN-SEED-01,P0083,GRADED6,1.5,0.0000
PLN-SEED-01,P0084,GRADED6,6.5,1.0000
PLN-SEED-01,P0085,GRADED6,2.5,0.2000
PLN-SEED-01,P0086,GRADED6,7.5,1.0000
PLN-SEED-01,P0087,GRADED6,3.5,0.4000
PLN-SEED-01,P0088,GRADED6,8.5,1.0000
PLN-SEED-01,P0089,GRADED6,4.5,0.6000
PLN-SEED-01,P0090,GRADED6,0.5,0.0000
PLN-SEED-01,P0091,GRADED6,5.5,0.8000
PLN-SEED-01,P0092,GRADED6,1.5,0.0000
PLN-SEED-01,P0093,GRADED6,6.5,1.0000
PLN-SEED-01,P0094,GRADED6,2.5,0.2000
PLN-SEED-01,P0095,GRADED6,7.5,1.0000
PLN-SEED-01,P0096,GRADED6,3.5,0.4000
PLN-SEED-01,P0097,GRADED6,8.5,1.0000
PLN-SEED-01,P0098,GRADED6,4.5,0.6000
PLN-SEED-01,P0099,GRADED6,0.5,0.0000
PLN-SEED-01,P0100,GRADED6,5.5,0.8000
PLN-SEED-01,P0101,GRADED6,1.5,0.0000
PLN-SEED-01,P0102,GRADED6,6.5,1.0000
PLN-SEED-01,P0103,GRADED6,2.5,0.2000
PLN-SEED-01,P0104,GRADED6,7.5,1.0000
PLN-SEED-01,P0105,GRADED6,3.5,0.4000
PLN-SEED-01,P0106,GRADED6,8.5,1.0000
PLN-SEED-01,P0107,GRADED6,4.5,0.6000
PLN-SEED-01,P0108,GRADED6,0.5,0.0000
PLN-SEED-01,P0109,GRADED6,5.5,0.8000
PLN-SEED-01,P0110,GRADED6,1.5,0.0000
PLN-SEED-01,P0111,GRADED6,6.5,1.0000
PLN-SEED-01,P0112,GRADED6,2.5,0.2000
PLN-SEED-01,P0113,GRADED6,7.5,1.0000
PLN-SEED-01,P0114,GRADED6,3.5,0.4000
PLN-SEED-01,P0115,GRADED6,8.5,1.0000
PLN-SEED-01,P0116,GRADED6,4.5,0.6000
PLN-SEED-01,P0117,GRADED6,0.5,0.0000
PLN-SEED-01,P0118,GRADED6,5.5,0.8000
PLN-SEED-01,P0119,GRADED6,1.5,0.0000
PLN-SEED-01,P0120,GRADED6,6.5,1.0000
