plan_id,participant_id,loan_id,payment_date,principal,interest
PLN-SEED-EB,P0003,L1,2023-03-15,152.50,30.00
PLN-SEED-EB,P0003,L1,2023-04-15,153.07,29.43
PLN-SEED-EB,P0003,L1,2023-05-15,153.65,28.85
PLN-SEED-EB,P0003,L1,2023-06-15,154.22,28.28
PLN-SEED-EB,P0003,L1,2023-07-15,154.80,27.70
PLN-SEED-EB,P0003,L1,2023-08-15,155.38,27.12
PLN-SEED-EB,P0003,L1,2023-09-15,155.96,26.54
PLN-SEED-EB,P0003,L1,2023-10-15,156.55,25.95
PLN-SEED-EB,P0003,L1,2023-11-15,157.14,25.36
PLN-SEED-EB,P0003,L1,2023-12-15,157.72,24.78
PLN-SEED-EB,P0003,L1,2024-01-15,158.32,24.18
PLN-SEED-EB,P0003,L1,2024-02-15,158.91,23.59
PLN-SEED-EB,P0003,L1,2024-03-15,159.51,22.99
PLN-SEED-EB,P0003,L1,2024-04-15,160.10,22.40
PLN-SEED-EB,P0003,L1,2024-05-15,160.70,21.80
PLN-SEED-EB,P0003,L1,2024-06-15,161.31,21.19
PLN-SEED-EB,P0003,L1,2024-07-15,161.91,20.59
PLN-SEED-EB,P0003,L1,2024-08-15,162.52,19.98
PLN-SEED-EB,P0003,L1,2024-09-15,163.13,19.37
PLN-SEED-EB,P0003,L1,2024-10-15,163.74,18.76
PLN-SEED-EB,P0003,L1,2024-11-15,164.35,18.15
PLN-SEED-EB,P0003,L1,2024-12-15,164.97,17.53
PLN-SEED-EB,P0003,L1,2025-01-15,165.59,16.91
PLN-SEED-EB,P0003,L1,2025-02-15,166.21,16.29
PLN-SEED-EB,P0021,L2,2024-02-15,175.50,52.50
PLN-SEED-EB,P0021,L2,2024-03-15,176.27,51.73
PLN-SEED-EB,P0021,L2,2024-04-15,177.04,50.96
PLN-SEED-EB,P0021,L2,2024-05-15,177.81,50.19
PLN-SEED-EB,P0021,L2,2024-06-15,178.59,49.41
PLN-SEED-EB,P0021,L2,2024-07-15,179.37,48.63
PLN-SEED-EB,P0021,L2,2024-08-15,180.16,47.84
PLN-SEED-EB,P0021,L2,2024-09-15,180.95,47.05
PLN-SEED-EB,P0021,L2,2024-10-15,181.74,46.26
PLN-SEED-EB,P0021,L2,2024-11-15,182.53,45.47
PLN-SEED-EB,P0021,L2,2024-12-15,183.33,44.67
PLN-SEED-EB,P0021,L2,2025-01-15,184.13,43.87
PLN-SEED-EB,P0021,L2,2025-02-15,184.94,43.06
PLN-SEED-EB,P0021,L2,2025-03-15,185.75,42.25
PLN-SEED-EB,P0021,L2,2025-04-15,186.56,41.44
PLN-SEED-EB,P0021,L2,2025-05-15,187.38,40.62
PLN-SEED-EB,P0021,L2,2025-06-15,188.20,39.80
PLN-SEED-EB,P0021,L2,2025-07-15,189.02,38.98
PLN-SEED-EB,P0033,L3,2022-08-01,130.93,16.67
PLN-SEED-EB,P0033,L3,2022-09-01,131.37,16.23
PLN-SEED-EB,P0033,L3,2022-10-01,131.81,15.79
PLN-SEED-EB,P0033,L3,2022-11-01,132.25,15.35
PLN-SEED-EB,P0033,L3,2022-12-01,132.69,14.91
PLN-SEED-EB,P0033,L3,2023-01-01,133.13,14.47
PLN-SEED-EB,P0033,L3,2023-02-01,133.57,14.03
PLN-SEED-EB,P0033,L3,2023-03-01,134.02,13.58
PLN-SEED-EB,P0033,L3,2023-04-01,134.47,13.13
PLN-SEED-EB,P0033,L3,2023-05-01,134.91,12.69
PLN-SEED-EB,P0033,L3,2023-06-01,135.36,12.24
PLN-SEED-EB,P0033,L3,2023-07-01,135.82,11.78
PLN-SEED-EB,P0033,L3,2023-08-01,136.27,11.33
PLN-SEED-EB,P0033,L3,2023-09-01,136.72,10.88
PLN-SEED-EB,P0033,L3,2023-10-01,137.18,10.42
PLN-SEED-EB,P0033,L3,2023-11-01,137.64,9.96
