plan_id,participant_id,money_type_code,period,amount,payroll_date
PLN-R001,R1001,PRETAX,2026-06,51.00,2026-06-15
PLN-R001,R1002,PRETAX,2026-06,52.00,2026-06-15
PLN-R001,R1003,PRETAX,2026-06,53.00,2026-06-15
PLN-R001,R1004,PRETAX,2026-06,54.00,2026-06-15
PLN-R001,R1005,PRETAX,2026-06,55.00,2026-06-15
PLN-R001,R1006,PRETAX,2026-06,56.00,2026-06-15
PLN-R001,R1007,PRETAX,2026-06,57.00,2026-06-15
PLN-R001,R1008,PRETAX,2026-06,58.00,2026-06-15
PLN-R001,R1009,PRETAX,2026-06,59.00,2026-06-15
PLN-R001,R1010,PRETAX,2026-06,60.00,2026-06-15
PLN-R001,R1011,PRETAX,2026-06,61.00,2026-06-15
PLN-R001,R1012,PRETAX,2026-06,62.00,2026-06-15
PLN-R001,R1013,PRETAX,2026-06,63.00,2026-06-15
PLN-R001,R1014,PRETAX,2026-06,64.00,2026-06-15
PLN-R001,R1015,PRETAX,2026-06,65.00,2026-06-15
PLN-R001,R1016,PRETAX,2026-06,66.00,2026-06-15
PLN-R001,R1017,PRETAX,2026-06,67.00,2026-06-15
PLN-R001,R1018,PRETAX,2026-06,68.00,2026-06-15
PLN-R001,R1019,PRETAX,2026-06,69.00,2026-06-15
PLN-R001,R1020,PRETAX,2026-06,70.00,2026-06-15
PLN-R001,R1021,PRETAX,2026-06,71.00,2026-06-15
PLN-R001,R1022,PRETAX,2026-06,72.00,2026-06-15
PLN-R001,R1023,PRETAX,2026-06,73.00,2026-06-15
PLN-R001,R1024,PRETAX,2026-06,74.00,2026-06-15
PLN-R001,R1025,PRETAX,2026-06,75.00,2026-06-15
PLN-R001,R1026,PRETAX,2026-06,76.00,2026-06-15
PLN-R001,R1027,PRETAX,2026-06,77.00,2026-06-15
PLN-R001,R1028,PRETAX,2026-06,78.00,2026-06-15
PLN-R001,R1029,PRETAX,2026-06,79.00,2026-06-15
PLN-R001,R1030,PRETAX,2026-06,80.00,2026-06-15
PLN-R001,R1031,PRETAX,2026-06,81.00,2026-06-15
PLN-R001,R1032,PRETAX,2026-06,82.00,2026-06-15
PLN-R001,R1033,PRETAX,2026-06,83.00,2026-06-15
PLN-R001,R1034,PRETAX,2026-06,84.00,2026-06-15
PLN-R001,R1035,PRETAX,2026-06,85.00,2026-06-15
PLN-R001,R1036,PRETAX,2026-06,86.00,2026-06-15
PLN-R001,R1037,PRETAX,2026-06,87.00,2026-06-15
PLN-R001,R1038,PRETAX,2026-06,88.00,2026-06-15
PLN-R001,R1039,PRETAX,2026-06,89.00,2026-06-15
PLN-R001,R1040,PRETAX,2026-06,90.00,2026-06-15
PLN-R001,R1041,PRETAX,2026-06,91.00,2026-06-15
PLN-R001,R1042,PRETAX,2026-06,92.00,2026-06-15
PLN-R001,R1043,PRETAX,2026-06,93.00,2026-06-15
PLN-R001,R1044,PRETAX,2026-06,94.00,2026-06-15
