plan_id,participant_id,schedule_id,service_years,vested_pct
PLN-SEED-EB,P0001,GRADED6,5.5,0.8000
PLN-SEED-EB,P0002,GRADED6,1.5,0.0000
PLN-SEED-EB,P0003,GRADED6,6.5,1.0000
PLN-SEED-EB,P0004,GRADED6,2.5,0.2000
PLN-SEED-EB,P0005,GRADED6,7.5,1.0000
PLN-SEED-EB,P0006,GRADED6,3.5,0.4000
PLN-SEED-EB,P0007,GRADED6,8.5,1.0000
PLN-SEED-EB,P0008,GRADED6,4.5,0.6000
PLN-SEED-EB,P0009,GRADED6,0.5,0.0000
PLN-SEED-EB,P0010,GRADED6,5.5,0.8000
PLN-SEED-EB,P0011,GRADED6,1.5,0.0000
PLN-SEED-EB,P0012,GRADED6,6.5,1.0000
PLN-SEED-EB,P0013,GRADED6,2.5,0.2000
PLN-SEED-EB,P0014,GRADED6,7.5,1.0000
PLN-SEED-EB,P0015,GRADED6,3.5,0.4000
PLN-SEED-EB,P0016,GRADED6,8.5,1.0000
PLN-SEED-EB,P0017,GRADED6,5.5,0.6000
PLN-SEED-EB,P0018,GRADED6,0.5,0.0000
PLN-SEED-EB,P0019,GRADED6,5.5,0.8000
PLN-SEED-EB,P0020,GRADED6,1.5,0.0000
PLN-SEED-EB,P0021,GRADED6,6.5,1.0000
PLN-SEED-EB,P0022,GRADED6,2.5,0.2000
PLN-SEED-EB,P0023,GRADED6,7.5,1.0000
PLN-SEED-EB,P0024,GRADED6,3.5,0.4000
PLN-SEED-EB,P0025,GRADED6,8.5,1.0000
PLN-SEED-EB,P0026,GRADED6,4.5,0.6000
PLN-SEED-EB,P0027,GRADED6,0.5,0.0000
PLN-SEED-EB,P0028,GRADED6,5.5,0.8000
PLN-SEED-EB,P0029,GRADED6,1.5,0.0000
PLN-SEED-EB,P0030,GRADED6,6.5,1.0000
PLN-SEED-EB,P0031,GRADED6,2.5,0.2000
PLN-SEED-EB,P0032,GRADED6,7.5,1.0000
PLN-SEED-EB,P0033,GRADED6,3.5,0.4000
PLN-SEED-EB,P0034,GRADED6,8.5,1.0000
PLN-SEED-EB,P0035,GRADED6,4.5,0.6000
PLN-SEED-EB,P0036,GRADED6,0.5,0.0000
PLN-SEED-EB,P0037,GRADED6,5.5,0.8000
PLN-SEED-EB,P0038,GRADED6,1.5,0.0000
PLN-SEED-EB,P0039,GRADED6,6.5,1.0000
PLN-SEED-EB,P0040,GRADED6,2.5,0.2000
PLN-SEED-EB,P0041,GRADED6,7.5,1.0000
PLN-SEED-EB,P0042,GRADED6,3.5,0.4000
PLN-SEED-EB,P0043,GRADED6,8.5,1.0000
PLN-SEED-EB,P0044,GRADED6,4.5,0.6000
PLN-SEED-EB,P0045,GRADED6,0.5,0.0000
PLN-SEED-EB,P0046,GRADED6,5.5,0.8000
PLN-SEED-EB,P0047,GRADED6,1.5,0.0000
PLN-SEED-EB,P0048,GRADED6,6.5,1.0000
PLN-SEED-EB,P0049,GRADED6,2.5,0.2000
PLN-SEED-EB,P0050,GRADED6,7.5,1.0000
PLN-SEED-EB,P0051,GRADED6,3.5,0.4000
PLN-SEED-EB,P0052,GRADED6,8.5,1.0000
PLN-SEED-EB,P0053,GRADED6,4.5,0.6000
PLN-SEED-EB,P0054,GRADED6,0.5,0.0000
PLN-SEED-EB,P0055,GRADED6,5.5,0.8000
PLN-SEED-EB,P0056,GRADED6,1.5,0.0000
PLN-SEED-EB,P0057,GRADED6,6.5,1.0000
PLN-SEED-EB,P0058,GRADED6,2.5,0.2000
PLN-SEED-EB,P0059,GRADED6,7.5,1.0000
PLN-SEED-EB,P0060,GRADED6,3.5,0.4000
PLN-SEED-EB,P0061,GRADED6,8.5,1.0000
PLN-SEED-EB,P0062,GRADED6,4.5,0.6000
PLN-SEED-EB,P0063,GRADED6,0.5,0.0000
PLN-SEED-EB,P0064,GRADED6,5.5,0.8000
PLN-SEED-EB,P0065,GRADED6,1.5,0.0000
PLN-SEED-EB,P0066,GRADED6,6.5,1.0000
PLN-SEED-EB,P0067,GRADED6,2.5,0.2000
PLN-SEED-EB,P0068,GRADED6,7.5,1.0000
PLN-SEED-EB,P0069,GRADED6,3.5,0.4000
PLN-SEED-EB,P0070,GRADED6,8.5,1.0000
PLN-SEED-EB,P0071,GRADED6,4.5,0.6000
PLN-SEED-EB,P0072,GRADED6,0.5,0.0000
PLN-SEED-EB,P0073,GRADED6,5.5,0.8000
PLN-SEED-EB,P0074,GRADED6,1.5,0.0000
PLN-SEED-EB,P0075,GRADED6,6.5,1.0000
PLN-SEED-EB,P0076,GRADED6,2.5,0.2000
PLN-SEED-EB,P0077,GRADED6,7.5,1.0000
PLN-SEED-EB,P0078,GRADED6,3.5,0.4000
PLN-SEED-EB,P0079,GRADED6,8.5,1.0000
PLN-SEED-EB,P0080,GRADED6,4.5,0.6000
PLN-SEED-EB,P0081,GRADED6,0.5,0.0000
PLN-SEED-EB,P0082,GRADED6,5.5,0.8000
PLN-SEED-EB,P0083,GRADED6,1.5,0.0000
PLN-SEED-EB,P0084,GRADED6,6.5,1.0000
PLN-SEED-EB,P0085,GRADED6,2.5,0.2000
PLN-SEED-EB,P0086,GRADED6,7.5,1.0000
PLN-SEED-EB,P0087,GRADED6,3.5,0.4000
PLN-SEED-EB,P0088,GRADED6,8.5,1.0000
PLN-SEED-EB,P0089,GRADED6,4.5,0.6000
PLN-SEED-EB,P0090,GRADED6,0.5,0.0000
PLN-SEED-EB,P0091,GRADED6,5.5,0.8000
PLN-SEED-EB,P0092,GRADED6,1.5,0.0000
PLN-SEED-EB,P0093,GRADED6,6.5,1.0000
PLN-SEED-EB,P0094,GRADED6,2.5,0.2000
PLN-SEED-EB,P0095,GRADED6,7.5,1.0000
PLN-SEED-EB,P0096,GRADED6,3.5,0.4000
PLN-SEED-EB,P0097,GRADED6,8.5,1.0000
PLN-SEED-EB,P0098,GRADED6,4.5,0.6000
PLN-SEED-EB,P0099,GRADED6,0.5,0.0000
PLN-SEED-EB,P0100,GRADED6,5.5,0.8000
PLN-SEED-EB,P0101,GRADED6,1.5,0.0000
PLN-SEED-EB,P0102,GRADED6,6.5,1.0000
PLN-SEED-EB,P0103,GRADED6,2.5,0.2000
PLN-SEED-EB,P0104,GRADED6,7.5,1.0000
PLN-SEED-EB,P0105,GRADED6,3.5,0.4000
PLN-SEED-EB,P0106,GRADED6,8.5,1.0000
PLN-SEED-EB,P0107,GRADED6,4.5,0.6000
PLN-SEED-EB,P0108,GRADED6,0.5,0.0000
PLN-SEED-EB,P0109,GRADED6,5.5,0.8000
PLN-SEED-EB,P0110,GRADED6,1.5,0.0000
PLN-SEED-EB,P0111,GRADED6,6.5,1.0000
PLN-SEED-EB,P0112,GRADED6,2.5,0.2000
PLN-SEED-EB,P0113,GRADED6,7.5,1.0000
PLN-SEED-EB,P0114,GRADED6,3.5,0.4000
PLN-SEED-EB,P0115,GRADED6,8.5,1.0000
PLN-SEED-EB,P0116,GRADED6,4.5,0.6000
PLN-SEED-EB,P0117,GRADED6,0.5,0.0000
PLN-SEED-EB,P0118,GRADED6,5.5,0.8000
